fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,JOIN_KEY,GISJOIN,WHITE,BLACK,TOTPOP,POC
951,"17","031","440800","17031440800","4408",Census Tract 4408,G5020,S,279123,0,"+41.7317114",-087.6033280,"17031440800",G17031440800,7,1544,1620,1613
955,"17","031","630300","17031630300","6303",Census Tract 6303,G5020,S,985487,0,"+41.7988620",-087.7086378,"17031630300",G17031630300,189,27,5385,5196
956,"17","031","630500","17031630500","6305",Census Tract 6305,G5020,S,657659,0,"+41.7974279",-087.6890171,"17031630500",G17031630500,181,58,6271,6090
957,"17","031","630800","17031630800","6308",Census Tract 6308,G5020,S,655815,0,"+41.7899652",-087.6985725,"17031630800",G17031630800,246,249,6641,6395
958,"17","031","630900","17031630900","6309",Census Tract 6309,G5020,S,659762,0,"+41.7898114",-087.7083655,"17031630900",G17031630900,201,101,5204,5003
966,"17","031","750100","17031750100","7501",Census Tract 7501,G5020,S,1285527,0,"+41.6958345",-087.6520283,"17031750100",G17031750100,11,3505,3736,3725
967,"17","031","750200","17031750200","7502",Census Tract 7502,G5020,S,1311132,0,"+41.6956647",-087.6714247,"17031750200",G17031750200,1020,1699,3024,2004
968,"17","031","750300","17031750300","7503",Census Tract 7503,G5020,S,661763,0,"+41.6953911",-087.6861726,"17031750300",G17031750300,2063,176,2470,407
969,"17","031","750400","17031750400","7504",Census Tract 7504,G5020,S,995559,0,"+41.6856566",-087.6850710,"17031750400",G17031750400,1669,904,2909,1240
970,"17","031","750500","17031750500","7505",Census Tract 7505,G5020,S,2636170,0,"+41.6846154",-087.6712334,"17031750500",G17031750500,1042,4150,5618,4576
